Stand;Kanton;Jahr;Stufe;Schultyp;Geschlecht;Nationalitaet;Traegerschaft;Finanzierung;Anzahl
16.11.2020;tg;2007;Sekundarstufe II;Heim- und Sonderschule;M;CH;priv;oef;4
16.11.2020;tg;2007;Sekundarstufe II;Berufsfachschule;M;CH;priv;priv;99
16.11.2020;tg;2007;Sekundarstufe II;Berufsfachschule;F;Ausländer;priv;priv;11
16.11.2020;tg;2007;Sekundarstufe II;Berufsfachschule;M;Ausländer;priv;priv;12
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;M;Ausländer;priv;priv;7
16.11.2020;tg;2007;Sekundarstufe II;Heim- und Sonderschule;F;CH;priv;oef;3
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;F;Ausländer;oef;oef;116
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;F;CH;oef;oef;1226
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;F;CH;priv;priv;27
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;M;CH;priv;oef;22
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;M;Ausländer;oef;oef;74
16.11.2020;tg;2007;Sekundarstufe II;Heim- und Sonderschule;F;Ausländer;priv;oef;1
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;M;CH;oef;oef;60
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;M;Ausländer;priv;priv;4
16.11.2020;tg;2007;Sekundarstufe II;Berufsfachschule;F;Ausländer;oef;oef;274
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;F;Ausländer;priv;priv;1
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;F;Ausländer;priv;oef;18
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;M;CH;oef;oef;567
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;M;Ausländer;priv;oef;13
16.11.2020;tg;2007;Sekundarstufe II;Heim- und Sonderschule;M;Ausländer;priv;oef;2
16.11.2020;tg;2007;Sekundarstufe II;Berufsfachschule;F;CH;oef;oef;1756
16.11.2020;tg;2007;Sekundarstufe II;Berufsfachschule;M;CH;oef;oef;3374
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;M;CH;priv;priv;33
16.11.2020;tg;2007;Sekundarstufe II;Berufsfachschule;M;Ausländer;oef;oef;451
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;M;CH;priv;priv;30
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;F;CH;priv;priv;34
16.11.2020;tg;2007;Sekundarstufe II;Mittelschule;F;Ausländer;priv;priv;9
16.11.2020;tg;2007;Sekundarstufe II;Brückenangebot;M;Ausländer;oef;oef;28
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;M;Ausländer;priv;priv;1
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;M;CH;priv;priv;7
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;F;Ausländer;oef;oef;19
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;M;CH;priv;oef;7
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;F;Ausländer;priv;priv;3
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;M;Ausländer;oef;oef;2
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;M;CH;oef;oef;99
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;F;CH;priv;priv;15
